ArtistId,artistName,albumTitle,AlbumId,10
5,Sting,Nothing Like the Sun,746,
17,Adam Sandler,What the Hell Happened to Me?,7,
19,Al Di Meola,World Sinfonia/Heart Of The Immigrants,17,
55,Stevie Wonder,Songs in the Key of Life,745,
56,Lou Reed,Berlin,499,
98,Andrew Lloyd Webber,Cats,122,
99,Chad & Jeremy,Distant Shores,123,
146,Eddie Cochran,The Complete 1950's Masters Eddie Cochran,187,
150,Danny Elfman,Edward Scissorhands,192,
264,Judy Garland,Judy At Carnegie Hall,453,
273,Korn,Take A Look In The Mirror,464,
345,Mason Williams & Mannheim Steamroller,Classical Gas,521,
385,Nat King Cole,The Greatest Hits,562,
386,Natalie Merchant,Ophelia,563,
415,P.O.D.,Payable On Death,597,
422,Paul McCartney,Chaos and Creation in the Backyard,604,
434,Peter Greene and Duane Whitaker / The Revels,Pulp Fiction: Music From the Motion Picture,630,
591,The Paul deLay Band,Heavy Rotation,894,
685,King Crimson,In the Court of the Crimson King,1051,
685,King Crimson,In the Wake of Poseidon,1052,
685,King Crimson,Lizard,1053,
688,Gov't Mule,Peace...Like A River,1057,
