artistName,albumTitle,albumArtistId,50,40,10,4,5
U2,The Joshua Tree,,,2,,,
U2,London Sunday Times,,,2,,,
John Cougar Mellencamp,Big Daddy,,,7,,,
John Cougar Mellencamp,Dance Naked,,,7,,,
Aerosmith,A Little South of Sanity Disc 1,,,18,,,
Aerosmith,A Little South of Sanity Disc 2,,,18,,,
Alanis Morissette,Jagged Little Pill,,,21,,,
Alanis Morissette,Under Rug Swept,,,21,,,
Albert Collins,Ice Pickin',,,22,,,
Albert King,Best of Albert King Vol. 1,,,23,,,
Amazon Mollies,Promised Land,,,25,,,
Aretha Franklin,20 Greatest Hits,,,29,,,
Argent,All Together Now,,,30,,,
B.B. King,Live In Cook County Jail,,,31,,,
B.B. King,Riding With the King,,,31,,,
Ludwig van Beethoven,Symphony no. 9 'Choral',,,37,,,
Better Than Ezra,"Friction, Baby",,,38,,,
Big Brother & The Holding Company,Cheap Thrills,,,41,,,
Big Brother & The Holding Company,Monterey International Pop Festival Disc 2,,,41,,,
Big Brother & The Holding Company,Monterey International Pop Festival Disc 1,,,41,,,
Billy Joel,The Stranger,,,43,,,
blink-182,Dude Ranch,,,46,,,
blink-182,Neighborhoods,,,46,,,
"Blood, Sweat & Tears","Blood, Sweat & Tears",,,48,,,
Bloodhound Gang,Fire Water Burn,,,49,,,
Blues Traveler,Four,,,53,,,
Bob Dylan,Time Out Of Mind,,,54,,,
Bob Dylan,Together Through Life,,,54,,,
Bob Dylan,MTV Unplugged,,,54,,,
Stevie Wonder,Bob Dylan - The 30th Anniversary Concert Celebration Disc 1,,,55,,,
Richie Havens,1983,,,60,,,
George Harrison,Bob Dylan - The 30th Anniversary Concert Celebration Disc 2,,,68,,,
Neil Young,Colorado,,,69,,,
Neil Young,1977 Decade Disc 1,,,69,,,
Neil Young,Decade Disc 2,,,69,,,
Neil Young,Living With War,,,69,,,
The Band,Music From Big Pink,,,75,,,
Bob Marley & The Wailers,Legend Disc 1,,,76,,,
Bob Marley & The Wailers,Legend Disc 2,,,76,,,
"Brian Auger, Julie Tippets",Encore,,,81,,,
Brian Ray,On My Way To You,,,82,,,
Brian Wilson,SMiLE,,,83,,,
Buddy Guy,Slippin' In,,,86,,,
Buddy Guy,Drinkin' TNT 'n' Smokin' Dynamite,,,86,,,
Buddy Holly,Ultimate Collection,,,87,,,
Buffalo Springfield,Buffalo Springfield,,,88,,,
Buffalo Springfield,Retrospective: The Best of Buffalo Springfield,,,88,,,
Butthole Surfers,Electriclarryland,,,89,,,
Carly Simon,Coming Around Again,,,93,,,
Carole King,Tapestry,,,94,,,
Carolyn Wonderland,Bloodless Revolution,,,95,,,
Carolyn Wonderland,Moon Goes Missing,,,95,,,
Cassandra Wilson,Blue Light ’Til Dawn,,,96,,,
Cat Stevens,Tea For The Tillerman,,,97,,,
Cat Stevens,Teaser and the Firecat,,,97,,,
Andrew Lloyd Webber,Jesus Christ Superstar,,,98,,,
Chicago,Chicago Transit Authority,,,100,,,
Christina Aguilera,Stripped,,,101,,,
Chuck Berry,Berry Is On Top,,,102,,,
Climax Blues Band,FM: Live,,,103,,,
Cold Blood,The Best Of Cold Blood,,,105,,,
Country Joe & The Fish,Here We Are Again,,,108,,,
Country Joe & The Fish,I Feel Like I´m Fixing To Die,,,108,,,
"Crosby, Stills & Nash",Crosby Stills and Nash,,,111,,,
"Crosby, Stills, Nash & Young",American Dream,,,112,,,
Curtis Salgado,Soul Activated,,,113,,,
Cyndi Lauper,Great Cyndi Lauper,,,114,,,
Danny O'Keefe,O'Keefe,,,116,,,
Darlene Love,Introducing Darlene Love,,,117,,,
Darrin Meyer,The Angry Guy,,,118,,,
Dave Anderson,Who Will Find Me - Who Will Care,,,119,,,
David Lee Roth,Eat Em & Smile,,,122,,,
Def Leppard,Rock Of Ages: The Definitive Collection,,,124,,,
Demi Lovato,Demi,,,127,,,
Dick Dale & Del-Tones,King Of The Surf Guitar: The Best Of Dick Dale & His Del-Tones,,,132,,,
Dire Straits,Dire Straits,,,133,,,
Dire Straits,Making Movies,,,133,,,
Dixie Chicks,Fly,,,134,,,
Dixie Chicks,Taking the Long Way,,,134,,,
Dolly Parton,Pure & Simple,,,136,,,
Doyle Bramhall II,Jellycream,,,138,,,
Dwight Slade,Shut Up...,,,143,,,
Dwight Slade,Weird State,,,143,,,
Eagles,On The Border,,,145,,,
Elmore James,Dust My Broom,,,154,,,
Elton John,Live In Australia,,,155,,,
Elvis Costello & the Attractions,Armed Forces,,,156,,,
Elvis Costello & the Attractions,Get Happy!!,,,156,,,
Elvis Costello,My Aim Is True,,,157,,,
Elvis Costello,This Year's Model,,,157,,,
Eminem,Blue Print,,,159,,,
Eminem,Recovery,,,159,,,
Emmylou Harris,Heartaches and Highways,,,160,,,
En Vogue,Best Of En Vogue,,,161,,,
The Animals,The Best Of The Animals,,,163,,,
Everclear,Songs from an American Movie Vol. One: Learning How To Smile,,,166,,,
Everclear,"Songs From an American Movie, Vol. Two: Good Time for a Bad Attitude",,,166,,,
Faces,A Nod Is as Good as a Wink...To a Blind Horse,,,167,,,
Faces,Ooh La La,,,167,,,
Faces,The Best Of Faces: Good Boys When They're Asleep,,,167,,,
Fleetwood Mac,Say You Will,,,170,,,
Frank Zappa,Sheik Yerbouti,,,175,,,
Funkadelic,By Way Of the Drum,,,177,,,
Garbage,Not Your Kind Of People,,,178,,,
Gin Blossoms,Congratulations I'm Sorry,,,181,,,
Golden Earring,The Continuing Story of Radar Love,,,182,,,
Goo Goo Dolls,Dizzy Up the Girl,,,183,,,
Graham Parker & The Rumour,Hold Back The Night,,,185,,,
Graham Parker & The Rumour,Howling Wind,,,185,,,
Gram Parsons,GP & Grievous Angel,,,186,,,
Grand Funk Railroad,Closer to Home,,,187,,,
Grand Funk Railroad,We're an American Band,,,187,,,
Grateful Dead,Anthem of the Sun,,,188,,,
Grateful Dead,Built To Last,,,188,,,
Grateful Dead,Go To Heaven,,,188,,,
Grateful Dead,In the Dark,,,188,,,
Grateful Dead,One From The Vault Disc 1,,,188,,,
Grateful Dead,One From the Vault Disc 2,,,188,,,
Grateful Dead,Without A Net Disc 1,,,188,,,
Grateful Dead,Without A Net Disc 2,,,188,,,
Great White,Live in London,,,189,,,
Great White,Psycho City,,,189,,,
Great White,Recovery: Live! + On Your Knees,,,189,,,
Great White,Shot in the Dark,,,189,,,
Great White,...Twice Shy,,,189,,,
Gwen Stefani,Love. Angel. Music. Baby.,,,193,,,
Gypsy,In The Garden,,,194,,,
Hair,Hair,,,195,,,
George Frideric Handel,Messiah,,,196,,,
Harry Connick Jr.,Blue Light,,,197,,,
Harry Connick Jr.,She,,,197,,,
Heart,Heart - Greatest Hits,,,199,,,
Herb Alpert & The Tijuana Brass,Whipped Cream & Other Delights,,,200,,,
Herman's Hermits,I'm into Something Good,,,201,,,
Herman's Hermits,Introducing Herman's Hermits,,,201,,,
Hoobastank,The Reason,,,202,,,
Hootie & the Blowfish,Cracked Rear View,,,203,,,
Howlin' Wolf,Howlin' Wolf: His Best -Chess 50th Anniversary Collection,,,205,,,
Iggy Pop,Avenue B,,,207,,,
Iggy Pop,Blah-Blah-Blah,,,207,,,
Iggy Pop,Instinct,,,207,,,
Iggy Pop,Naughty Little Doggie,,,207,,,
Iggy Pop,Party,,,207,,,
Iggy Pop,Soldier,,,207,,,
Iggy Pop,Zombie Birdhouse,,,207,,,
Iggy & The Stooges,Raw Power,,,209,,,
Iggy & The Trolls,Skull Ring,,,210,,,
Intergalactic Touring Band,Intergalactic Touring Band,,,214,,,
Irma Thomas,In between tears,,,216,,,
Irma Thomas,Ruler of Hearts,,,216,,,
Irma Thomas,Something Good: The Muscle Shoals Sessions,,,216,,,
Irma Thomas,Take a look,,,216,,,
Irma Thomas,The Soul Queen Of New Orleans,,,216,,,
Irma Thomas,The Way I Feel,,,216,,,
Irma Thomas,True Believer,,,216,,,
Marcia Ball/Irma Thomas/Tracy Nelson,Sing It,,,217,,,
It's A Beautiful Day,Choice Quality Stuff...Anytime,,,220,,,
It's A Beautiful Day,"Creed of Love (Live in San Fransisco July 1, 1971)",,,220,,,
Johann Sebastian Bach,Piano Works - Italian Concerto,,,221,,,
Johann Sebastian Bach,Toccata und Fuge: Festliche Orgelklänge,,,221,,,
Jack Mayberry,Comedius Erectus,,,223,,,
Jakob Dylan,Echo in the Canyon,,,225,,,
Janis Joplin,Pearl,,,229,,,
Jay-Z,Blue Print 3,,,230,,,
Jay-Z,D.O.A.,,,230,,,
Jeff Burghart,I Tease Because I Love,,,231,,,
Jeff Foxworthy,Greatest Bits,,,232,,,
Jefferson Airplane,Bark,,,233,,,
Jefferson Airplane,Worst of the Jefferson Airplane,,,233,,,
Jefferson Starship,Earth,,,234,,,
Jefferson Starship,Red Octopus,,,234,,,
Jefferson Starship,Starship,,,234,,,
Jerry Garcia Band,Jerry Garcia Band Disc 1,,,235,,,
Jerry Garcia Band,Jerry Garcia Band Disc 2,,,235,,,
Jerry Lee Lewis,Great Balls of Fire 2,,,236,,,
Jerry Lee Lewis,Last Man Standing - The Duets,,,236,,,
Jet,Dirty Sweet EP,,,237,,,
Jet,Get Born,,,237,,,
Jethro Tull,Aqualung,,,238,,,
Jethro Tull,Benefit,,,238,,,
Jethro Tull,Stand Up,,,238,,,
Jim Mesi with Lily Wilde,Hot Night at the Candlelight,,,239,,,
Jim Mesi,Shut Up & Play,,,240,,,
Jimi Hendrix,Band Of Gypsys,,,241,,,
Jimmy Ruffin,Best of Jimmy Ruffin,,,249,,,
Joan Jett & The Blackhearts,The Original Hit - Collection Disc 1,,,250,,,
Joan Jett & The Blackhearts,The Original Hit - Collection Disc 2,,,250,,,
JoAnne Kelly,Tramp,,,251,,,
John Mellencamp,Cuttin' Heads,,,254,,,
John Lee Hooker,The Essential Collection,,,257,,,
John Mayall,The Turning Point,,,259,,,
Johnny Cash,American IV: The Man Comes Around,,,260,,,
Johnny Cash,American Recordings,,,260,,,
Johnny Cash,Classic Cash: Hall of Fame Series,,,260,,,
Jonny Lang,Lie to Me,,,261,,,
Jonny Lang,Wander This World,,,261,,,
Judas Priest,The Essential Judas Priest Disc 1,,,263,,,
Juice Newton,Juice Newton - Greatest Country Hits,,,265,,,
Karla Bonoff,Best of Karla Bonoff: All My Life,,,266,,,
Kathleen Madigan,Kathleen Madigan,,,267,,,
Kanye West,Graduation,,,268,,,
Kanye West,International Falls Remix,,,268,,,
Lars Frederiksen and the Bastards,Viking,,,276,,,
Laura Branigan,Branigan,,,277,,,
"Leslie Odom, Jr., Lin-Manuel Miranda, Original Broadway Cast of Hamilton",Hamilton (Original Broadway Cast Recording) [Explicit],,,285,,,
Link Wray,Rumble! The Best of Link Wray,,,322,,,
Linkin Park & Jay-Z,Collision Course,,,323,,,
Linkin Park,Meteora,,,324,,,
Lisa Lampanelli,Take It Like a Man,,,325,,,
Mark Knopfler,Sailing to Philadelphia,,,342,,,
Matchbox Twenty,Mad Season,,,346,,,
Mc5,Kick Out the Jams,,,347,,,
Melanie,Melanie,,,348,,,
Merrilee Rush,Angel of the Morning,,,349,,,
Michael Nesmith,Live At The Britt Festival Disc 1,,,351,,,
Michael Nesmith,Live At The Britt Festival Disc 2,,,351,,,
Mike Zito,Pearl River,,,352,,,
Mike Zito,The Real Deal,,,352,,,
Mike Zito,Today,,,352,,,
Mississippi John Hurt,Avalon Blues: The Complete 1928 OKeh Recordings,,,353,,,
The Byrds,Fifth Dimension,,,359,,,
The Byrds,Sweetheart of the Rodeo,,,359,,,
The Byrds,Younger Than Yesterday,,,359,,,
Ravi Shankar,The Sounds Of India,,,360,,,
Steve Miller Band,Sailor,,,362,,,
The Who,Tommy Disc 1,,,364,,,
The Who,Tommy Disc 2,,,364,,,
The Who,Monterey International Pop Festival Disc 3,,,364,,,
The Mamas & The Papas,Monterey International Pop Festival Disc 4,,,367,,,
Eric Idle/John Du Prez/Tim Curry/David Hyde Pierce/Hank Azaria,Monty Python's Spamalot (2005 Original Broadway Cast),,,370,,,
Monty Python,The Final Rip Off Disc 1,,,371,,,
Monty Python,The Final Rip Off Disc 2,,,371,,,
Moonshine Willy,Bloodshot Records Spring Cleaning Sampler,,,372,,,
Motley Crue,Motley Crue - Greatest Hits,,,374,,,
Motorhead,Ace Of Spades,,,375,,,
Mountain,The Best Of Mountain,,,377,,,
Mountain,Twin Peaks,,,377,,,
Wolfgang Amadeus Mozart,Your Favorite Mozart,,,378,,,
Muddy Waters,King of the Electric Blues,,,380,,,
Mungo Jerry,In the Summertime,,,381,,,
MxPx,At The Show,,,382,,,
MxPx,Before Everything & After,,,382,,,
MxPx,Move To Bremerton,,,382,,,
Nazareth,Live at the Beeb,,,387,,,
Nelly Furtado,"Whoa, Nelly!",,,389,,,
NOFX,Heavy Petting Zoo,,,394,,,
Norman Greenbaum,Spirit in the Sky,,,395,,,
Nox Novacula,The Beginning,,,396,,,
Otis Clay,Trying To Live My Life Without You,,,414,,,
Paul McCartney & Wings,Wingspan - History,,,421,,,
Paul McCartney & Wings,Wingspan Hits,,,421,,,
Paul Revere and the Raiders,Essential '60s Hits,,,424,,,
Paul Revere and the Raiders,20 Best of '60s Rock 'n' Roll,,,424,,,
Pearl Jam,Ten,,,425,,,
Pearl Jam,Vitalogy,,,425,,,
Peter Frampton,Frampton Comes Alive!,,,428,,,
Pink Floyd,Atom Heart Mother,,,430,,,
Pink Floyd,Delicate Sound Of Thunder Live Disc 1,,,430,,,
Pink Floyd,Delicate Sound Of Thunder Live Disc 2,,,430,,,
Pink Floyd,Meddle,,,430,,,
Pink Floyd,Ummagumma Disc 1,,,430,,,
Pink Floyd,Ummagumma Disc 2,,,430,,,
Sergei Prokofiev,Tchaikovsky: Piano Concerto no. 1 / Prokofiev: Piano Concerto no. 3,,,433,,,
Queen,Greatest Hits I & II Disc 1,,,448,,,
Queen,Greatest Hits I & II Disc 2,,,448,,,
Question Mark & The Mysterians,Question Mark & The Mysterians,,,449,,,
R.E.M.,Out of Time,,,451,,,
Rare Bird,As Your Mind Flies By,,,454,,,
REO Speedwagon,Take It on the Run: The Best of Reo Speedwagon,,,456,,,
Rihanna,A Girl Like Me,,,458,,,
Rihanna,Good Girl Gone Bad,,,458,,,
Rihanna & Maroon 5,If I Never See Your Face Again,,,459,,,
Robert Johnson,The Complete Recordings Disc 1,,,461,,,
Robert Johnson,The Complete Recordings Disc 2,,,461,,,
Robin Trower,Too rolling stoned,,,462,,,
Rod Stewart,Every Picture Tells A Story,,,464,,,
Rod Stewart,Never a Dull Moment,,,464,,,
Roger Miret And The Disasters,1984,,,465,,,
Roy Orbison,The Essential 3.0 Roy Orbison,,,467,,,
Sallie Ford & The Sound Outside,Partisan Records 2011 Spring Sampler,,,468,,,
Sam The Sham & The Pharaohs,Wooly Bully/Li'l Red Riding Hood,,,470,,,
Samantha Fish,Belle of the West,,,471,,,
Sammy Hagar,Live: Hallelujah,,,474,,,
Santana,Supernatural,,,475,,,
Scott Liss & the Sixty-Six,Sounds of NJ - Spring Sampler - 2010,,,479,,,
Shakira,Laundry Service,,,480,,,
Simon & Garfunkel,Bridge Over Trouble Water,,,485,,,
Simon & Garfunkel,"Parsley, Sage, Rosemary and Thyme",,,485,,,
Sir Douglas Quintet,Mendocino,,,486,,,
Sir Douglas Quintet,The Complete Masters,,,486,,,
Social Distortion,Live at the Roxy,,,490,,,
Social Distortion,Mainliner: Wreckage From The Past,,,490,,,
Social Distortion,Mommy's Little Monster,,,490,,,
Social Distortion,Prison Bound,,,490,,,
Sonny Boy Williamson,His Best,,,502,,,
Soundgarden,Superunknown,,,504,,,
Steely Dan,Aja,,,507,,,
Steely Dan,Can't Buy A Thrill,,,507,,,
Steely Dan,Citizen Steely Dan: 1972-1980,,,507,,,
Steely Dan,Katy Lied,,,507,,,
Steely Dan,Pretzel Logic,,,507,,,
Steely Dan,The Royal Scam,,,507,,,
Stereo Fuse,Stereo Fuse,,,510,,,
Steve Winwood,Back in the High Life,,,511,,,
STONED,Doom Metal (Instrumental Compilation),,,513,,,
STONED,Jurassic Punks,,,513,,,
STONED,Psychedelic Stoner Acid Rock (Instrumental Compilation),,,513,,,
STONED,Stoner Blues & Sludge Metal (Instrumental Compilation),,,513,,,
STONED,The Acid Blues,,,513,,,
STONED,The Acid Blues Vol.1,,,513,,,
STONED,The Acid Machine - Underwater,,,513,,,
STONED,The Doom Wizard - Lord Of The Riffs,,,513,,,
Lou Gramm with Sugar Blue,Blues on Fire,,,520,,,
Taylor Swift,Fearless,,,534,,,
Taylor Swift,The Tortured Poets Department,,,534,,,
Tedeschi Trucks Band,Revelator,,,536,,,
