artistName,albumTitle,50
Bon Jovi,These Days,1
The Pretenders,The Pretenders,6
John Cougar Mellencamp,Uh-Huh,7
John Cougar Mellencamp,Scarecrow,7
Stevie Nicks,Bella Donna,12
AC/DC,Back in Black,16
AC/DC,Black Ice,16
AC/DC,Dirty Deeds Done Dirt Cheap,16
AC/DC,Let There Be Rock,16
AC/DC,Who Made Who,16
Aerosmith,Get a Grip,18
Aerosmith,Honkin' On Bobo,18
Aerosmith,Just Push Play,18
Aerosmith,Nine Lives,18
Aerosmith,Permanent Vacation,18
Aerosmith,Pump,18
Aerosmith,Toys In The Attic,18
Alan Price,Alan Price,20
Alice Cooper,Billion Dollar Babies,24
Alice Cooper,Easy Action,24
Alice Cooper,Killer,24
Alice Cooper,Love It to Death,24
Alice Cooper,Pretties For You,24
Alice Cooper,School’s Out,24
Alice Cooper,The Eyes Of Alice Cooper,24
Alice Cooper,The Revenge of Alice Cooper,24
Ana Popovic,Ana Popovic & Hush: Hometown,27
Ana Popovic,Can You Stand the Heat,27
Ana Popovic,Jam Session With Paul Personne,27
Ana Popovic,The Queen Of Blues Guitar,27
Ana Popovic,Unconditional,27
Anti-Flag,A New Kind of Army,28
Bachman-Turner Overdrive,Bachman-Turner Overdrive,32
Bachman-Turner Overdrive,Bachman-Turner Overdrive II,32
Bachman-Turner Overdrive,Four Wheel Drive,32
Bachman-Turner Overdrive,Head On,32
Bachman-Turner Overdrive,Not Fragile,32
Badfinger,Straight Up,33
Barclay James Harvest,Once Again,34
BCUC,Millions of Us,36
Betty Blowtorch,Last Call,39
Beyoncé,CarterCowboy Carter (Act II),40
Billy Idol,Idolize Yourself: The Very Best of Billy Idol,42
Black Sabbath,Black Sabbath,44
Black Sabbath,Paranoid,44
Blind Faith,Blind Faith,45
blink-182,blink-182,46
blink-182,Enema Of The State,46
blink-182,Take off Your Pants and Jacket,46
Blondie,Eat to the Beat,47
Blondie,Parallel Lines,47
"Blood, Sweat & Tears",Child Is Father To The Man,48
Al Kooper/Mike Bloomfield/Stephen Stills,Super Session,50
Blue Cheer,Vincebus Eruptum,51
Blue Mountain Eagle,Blue Mountain Eagle,52
Bob Dylan,Blonde on Blonde,54
Bob Dylan,Blood On The Tracks,54
Bob Dylan,Highway 61 Revisited,54
Bob Dylan,Love and Theft,54
Bob Dylan,Nashville Skyline,54
Bob Dylan,"The ""Royal Albert Hall"" Concert",54
Stevie Wonder,Innervisions,55
Lou Reed,New York,56
Lou Reed,Set the Twilight Reeling,56
Johnny Winter,The Best Of Johnny Winter,57
George Harrison,All Things Must Pass Disc 1,68
George Harrison,All Things Must Pass Disc 2,68
George Harrison,Cloud Nine,68
George Harrison,The Concert for Bangladesh,68
Neil Young,Everybody Knows This Is Nowhere,69
Neil Young,Freedom,69
Neil Young,Harvest,69
Neil Young,Mirror Ball,69
Neil Young,Neil Young,69
Neil Young,On The Beach,69
Neil Young,Prairie Wind,69
Neil Young,Rust Never Sleeps,69
Neil Young,Sleeps With Angels,69
Eric Clapton,461 Ocean Boulevard,70
Eric Clapton,Behind The Sun,70
Eric Clapton,Crossroads Disc 1,70
Eric Clapton,Crossroads Disc 2,70
Eric Clapton,Crossroads Disc 3,70
Eric Clapton,Crossroads Disc 4,70
Eric Clapton,From the Cradle,70
Eric Clapton,Journeyman,70
Eric Clapton,Reptile,70
